year,genfund,debtservice,scohols,insidememphis,ruralschoolbond,outsidememphis
2004,1.31,0.7,2.03,4.04,0.05,4.09
2005,1.22,0.8,2.02,4.04,0.05,4.09
2006,1.22,0.8,2.02,4.04,0.05,4.09
2007,1.22,0.8,2.02,4.04,0.05,4.09
2008,1.22,0.8,2.02,4.04,0.05,4.09
2009,1.23,0.81,1.98,4.02,0.04,4.06
2010,1.33,0.79,1.9,4.02,0.04,4.06
2011,1.36,0.75,1.91,4.02,0.04,4.06
2012,1.36,0.75,1.91,4.02,0.04,4.06
2013,1.45,0.79,2.14,4.38,0.04,4.42
2014,1.45,0.78,2.14,4.37,0,4.37
2015,1.45,0.78,2.14,4.37,0,4.37
2016,1.45,0.78,2.14,4.37,0,4.37
